activity_detail_code,requirement_name_ar,requirement_name_en,issuing_authority,estimated_cost,mandatory,sort_order
desertification_control_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,281
desertification_control_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,282
desertification_control_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,283
desertification_control_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,284
desertification_control_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,285
desertification_control_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,286
desertification_control_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,287
desertification_control_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,288
desertification_control_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,289
desertification_control_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,290
desertification_control_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,291
desertification_control_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,292
desertification_control_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,293
desertification_control_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,294
livestock_farming_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,295
livestock_farming_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,296
livestock_farming_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,297
livestock_farming_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,298
livestock_livestock_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,299
livestock_livestock_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,300
livestock_livestock_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,301
livestock_livestock_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,302
livestock_processing_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,303
livestock_processing_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,304
livestock_processing_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,305
livestock_processing_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,306
livestock_distribution_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,307
livestock_distribution_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,308
livestock_distribution_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,309
livestock_distribution_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,310
poultry_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,311
poultry_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,312
poultry_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,313
poultry_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,314
poultry_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,315
poultry_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,316
poultry_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,317
poultry_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,318
poultry_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,319
poultry_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,320
poultry_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,321
poultry_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,322
poultry_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,323
poultry_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,324
poultry_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,325
poultry_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,326
fisheries_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,327
fisheries_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,328
fisheries_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,329
fisheries_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,330
fisheries_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,331
fisheries_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,332
fisheries_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,333
fisheries_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,334
fisheries_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,335
fisheries_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,336
fisheries_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,337
fisheries_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,338
fisheries_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,339
fisheries_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,340
fisheries_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,341
fisheries_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,342
real_estate_residential_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,343
real_estate_residential_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,344
real_estate_residential_activity_medium,ترخيص تطوير عقاري,Real Estate Development License,Ministry of Municipalities,25000,true,345
real_estate_residential_activity_medium,رخصة بناء,Building Permit,Municipality,15000,true,346
real_estate_commercial_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,347
real_estate_commercial_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,348
real_estate_commercial_activity_medium,ترخيص تطوير عقاري,Real Estate Development License,Ministry of Municipalities,25000,true,349
real_estate_commercial_activity_medium,رخصة بناء,Building Permit,Municipality,15000,true,350
real_estate_industrial_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,351
real_estate_industrial_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,352
real_estate_industrial_activity_medium,ترخيص تطوير عقاري,Real Estate Development License,Ministry of Municipalities,25000,true,353
real_estate_industrial_activity_medium,رخصة بناء,Building Permit,Municipality,15000,true,354
real_estate_brokerage_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,355
real_estate_brokerage_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,356
real_estate_brokerage_activity_medium,ترخيص تطوير عقاري,Real Estate Development License,Ministry of Municipalities,25000,true,357
real_estate_brokerage_activity_medium,رخصة بناء,Building Permit,Municipality,15000,true,358
contracting_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,359
contracting_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,360
contracting_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,361
contracting_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,362
contracting_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,363
contracting_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,364
contracting_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,365
contracting_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,366
contracting_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,367
contracting_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,368
contracting_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,369
contracting_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,370
contracting_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,371
contracting_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,372
contracting_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,373
contracting_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,374
industrial_cities_factories_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,375
industrial_cities_factories_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,376
industrial_cities_factories_activity_medium,ترخيص مصنع,Factory License,Ministry of Industry,20000,true,377
industrial_cities_factories_activity_medium,تصريح بيئي,Environmental Permit,Ministry of Environment,10000,true,378
industrial_cities_workshops_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,379
industrial_cities_workshops_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,380
industrial_cities_workshops_activity_medium,ترخيص مصنع,Factory License,Ministry of Industry,20000,true,381
industrial_cities_workshops_activity_medium,تصريح بيئي,Environmental Permit,Ministry of Environment,10000,true,382
industrial_cities_assembly_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,383
industrial_cities_assembly_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,384
industrial_cities_assembly_activity_medium,ترخيص مصنع,Factory License,Ministry of Industry,20000,true,385
industrial_cities_assembly_activity_medium,تصريح بيئي,Environmental Permit,Ministry of Environment,10000,true,386
industrial_cities_packaging_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,387
industrial_cities_packaging_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,388
industrial_cities_packaging_activity_medium,ترخيص مصنع,Factory License,Ministry of Industry,20000,true,389
industrial_cities_packaging_activity_medium,تصريح بيئي,Environmental Permit,Ministry of Environment,10000,true,390
logistics_transport_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,391
logistics_transport_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,392
logistics_transport_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,393
logistics_transport_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,394
logistics_warehousing_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,395
logistics_warehousing_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,396
logistics_warehousing_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,397
logistics_warehousing_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,398
logistics_shipping_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,399
logistics_shipping_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,400
logistics_shipping_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,401
logistics_shipping_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,402
logistics_last_mile_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,403
logistics_last_mile_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,404
logistics_last_mile_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,405
logistics_last_mile_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,406
dry_warehouses_transport_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,407
dry_warehouses_transport_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,408
dry_warehouses_transport_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,409
dry_warehouses_transport_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,410
dry_warehouses_warehousing_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,411
dry_warehouses_warehousing_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,412
dry_warehouses_warehousing_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,413
dry_warehouses_warehousing_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,414
dry_warehouses_shipping_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,415
dry_warehouses_shipping_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,416
dry_warehouses_shipping_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,417
dry_warehouses_shipping_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,418
dry_warehouses_last_mile_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,419
dry_warehouses_last_mile_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,420
dry_warehouses_last_mile_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,421
dry_warehouses_last_mile_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,422
cold_warehouses_transport_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,423
cold_warehouses_transport_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,424
cold_warehouses_transport_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,425
cold_warehouses_transport_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,426
cold_warehouses_warehousing_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,427
cold_warehouses_warehousing_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,428
cold_warehouses_warehousing_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,429
cold_warehouses_warehousing_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,430
cold_warehouses_shipping_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,431
cold_warehouses_shipping_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,432
cold_warehouses_shipping_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,433
cold_warehouses_shipping_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,434
cold_warehouses_last_mile_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,435
cold_warehouses_last_mile_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,436
cold_warehouses_last_mile_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,437
cold_warehouses_last_mile_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,438
transport_transport_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,439
transport_transport_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,440
transport_transport_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,441
transport_transport_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,442
transport_warehousing_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,443
transport_warehousing_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,444
transport_warehousing_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,445
transport_warehousing_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,446
transport_shipping_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,447
transport_shipping_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,448
transport_shipping_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,449
transport_shipping_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,450
transport_last_mile_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,451
transport_last_mile_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,452
transport_last_mile_activity_medium,ترخيص نقل,Transport License,Ministry of Transport,8000,true,453
transport_last_mile_activity_medium,تأمين مركبات,Vehicle Insurance,Insurance Company,5000,true,454
ports_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,455
ports_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,456
ports_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,457
ports_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,458
ports_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,459
ports_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,460
ports_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,461
ports_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,462
ports_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,463
ports_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,464
ports_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,465
ports_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,466
ports_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,467
ports_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,468
ports_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,469
ports_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,470
aviation_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,471
aviation_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,472
aviation_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,473
aviation_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,474
aviation_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,475
aviation_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,476
aviation_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,477
aviation_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,478
aviation_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,479
aviation_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,480
aviation_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,481
aviation_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,482
aviation_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,483
aviation_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,484
aviation_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,485
aviation_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,486
private_aviation_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,487
private_aviation_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,488
private_aviation_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,489
private_aviation_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,490
private_aviation_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,491
private_aviation_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,492
private_aviation_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,493
private_aviation_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,494
private_aviation_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,495
private_aviation_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,496
private_aviation_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,497
private_aviation_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,498
private_aviation_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,499
private_aviation_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,500
private_aviation_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,501
private_aviation_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,502
hajj_umrah_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,503
hajj_umrah_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,504
hajj_umrah_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,505
hajj_umrah_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,506
hajj_umrah_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,507
hajj_umrah_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,508
hajj_umrah_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,509
hajj_umrah_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,510
hajj_umrah_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,511
hajj_umrah_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,512
hajj_umrah_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,513
hajj_umrah_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,514
hajj_umrah_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,515
hajj_umrah_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,516
hajj_umrah_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,517
hajj_umrah_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,518
tourism_events_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,519
tourism_events_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,520
tourism_events_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,521
tourism_events_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,522
tourism_media_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,523
tourism_media_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,524
tourism_media_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,525
tourism_media_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,526
tourism_sports_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,527
tourism_sports_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,528
tourism_sports_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,529
tourism_sports_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,530
tourism_tourism_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,531
tourism_tourism_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,532
tourism_tourism_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,533
tourism_tourism_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,534
hospitality_software_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,535
hospitality_software_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,536
hospitality_software_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,537
hospitality_software_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,538
hospitality_hardware_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,539
hospitality_hardware_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,540
hospitality_hardware_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,541
hospitality_hardware_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,542
hospitality_it_services_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,543
hospitality_it_services_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,544
hospitality_it_services_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,545
hospitality_it_services_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,546
hospitality_telecom_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,547
hospitality_telecom_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,548
hospitality_telecom_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,549
hospitality_telecom_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,550
entertainment_events_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,551
entertainment_events_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,552
entertainment_events_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,553
entertainment_events_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,554
entertainment_media_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,555
entertainment_media_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,556
entertainment_media_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,557
entertainment_media_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,558
entertainment_sports_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,559
entertainment_sports_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,560
entertainment_sports_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,561
entertainment_sports_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,562
entertainment_tourism_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,563
entertainment_tourism_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,564
entertainment_tourism_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,565
entertainment_tourism_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,566
culture_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,567
